@relation AnimalPosition

@attribute longitude numeric
@attribute latitude numeric

@data
-54.722752,-20.442915
-54.722786,-20.443417
-54.722759,-20.443562
-54.722778,-20.443712
-54.722759,-20.443981
-54.722897,-20.443897
-54.722954,-20.443798
-54.723179,-20.443689
-54.722927,-20.443256
-54.723236,-20.443296
-54.723,-20.443668
-54.723125,-20.443865
-54.722832,-20.443598
-54.722748,-20.44396
-54.723145,-20.44352
-54.722797,-20.44294
-54.722759,-20.442881
-54.722923,-20.442928
-54.722881,-20.443218
-54.723221,-20.443214
-54.723385,-20.443371
-54.723347,-20.443695
-54.723026,-20.443594
-54.723091,-20.443779
-54.723228,-20.443869
-54.723293,-20.443804
-54.723259,-20.443758
-54.723213,-20.443542
-54.722958,-20.443434
-54.722775,-20.443319
-54.722767,-20.443708
-54.722763,-20.443947
-54.722946,-20.443951
-54.723114,-20.443892
-54.722881,-20.443686
-54.723114,-20.443386
-54.722874,-20.44331
-54.722775,-20.443098
-54.722759,-20.442921
-54.722752,-20.443119
-54.722752,-20.443119
-54.722767,-20.443314
-54.722763,-20.443455
-54.722874,-20.44351
-54.722778,-20.443592
-54.72279,-20.443731
-54.722771,-20.443966
-54.722759,-20.443666
-54.722771,-20.443512
-54.72287,-20.443388
-54.72282,-20.443663
-54.72282,-20.443796
-54.722755,-20.443928
-54.722843,-20.443899
-54.722771,-20.443642
-54.722794,-20.443348
-54.722893,-20.443325
-54.722977,-20.443247
-54.722946,-20.443111
-54.722847,-20.442852
-54.722794,-20.443348
-54.722847,-20.443094
-54.722763,-20.443256
-54.722759,-20.443426
-54.7229,-20.44356
-54.7229,-20.44356
-54.7229,-20.44356
-54.7229,-20.44356
-54.722946,-20.443386
-54.723099,-20.443361
-54.72319,-20.44348
-54.723221,-20.443604
-54.723351,-20.443678
-54.723484,-20.443823
-54.723194,-20.443823
-54.722771,-20.44396
-54.722836,-20.443707
-54.722969,-20.443737
-54.723148,-20.443712
-54.723125,-20.44356
-54.723019,-20.443321
-54.72282,-20.443365
-54.722775,-20.442919
-54.722824,-20.443165
-54.722759,-20.443426
-54.722961,-20.443594
-54.722954,-20.443398
-54.723129,-20.443411
-54.723244,-20.443531
-54.723122,-20.443768
-54.723351,-20.443678
-54.723228,-20.443884
-54.723038,-20.44396
-54.722771,-20.44396
-54.722786,-20.443624
-54.722759,-20.443726
-54.722992,-20.443783
-54.723038,-20.443539
-54.722996,-20.443281
-54.722874,-20.443401
-54.722866,-20.443604
-54.722755,-20.443253
-54.722858,-20.443279
-54.723083,-20.443138
-54.723186,-20.443228
-54.723339,-20.443323
-54.723232,-20.443439
-54.72311,-20.443602
-54.723049,-20.443819
-54.723263,-20.443592
-54.722763,-20.442924
-54.722748,-20.443115
-54.722763,-20.443316
-54.722755,-20.44356
-54.722763,-20.443724
-54.722759,-20.443964
-54.722778,-20.443645
-54.722782,-20.443394
-54.722908,-20.443501
-54.723003,-20.443583
-54.722961,-20.443705
-54.72311,-20.443754
-54.723263,-20.443951
-54.723179,-20.443954
-54.723083,-20.443941
-54.722916,-20.443829
-54.722759,-20.443981
-54.722843,-20.443714
-54.72282,-20.443504
-54.723026,-20.443346
-54.722912,-20.443022
-54.722843,-20.442894
-54.722923,-20.442919
-54.72316,-20.443144
-54.722885,-20.443218
-54.722744,-20.443228
-54.722767,-20.442883
-54.722988,-20.442989
-54.72316,-20.443125
-54.723351,-20.443325
-54.723209,-20.443453
-54.723034,-20.443371
-54.723015,-20.443573
-54.722996,-20.443766
-54.72298,-20.443935
-54.722866,-20.443947
-54.722759,-20.443796
-54.722839,-20.443764
-54.722908,-20.443806
-54.722927,-20.44396
-54.722851,-20.443844
-54.722763,-20.443966
-54.722961,-20.443581
-54.723202,-20.443605
-54.723412,-20.443583
-54.723488,-20.443516
-54.723331,-20.443439
-54.723194,-20.443316
-54.722786,-20.442974
-54.722752,-20.443119
-54.722946,-20.443224
-54.722893,-20.443447
-54.723122,-20.443443
-54.723255,-20.443527
-54.72327,-20.443748
-54.723438,-20.443777
-54.723366,-20.443642
-54.723507,-20.443676
-54.723667,-20.443705
-54.723766,-20.443777
-54.723827,-20.443918
-54.723652,-20.443924
-54.723522,-20.44388
-54.723438,-20.443926
-54.72332,-20.443892
-54.723228,-20.443823
-54.723091,-20.44392
-54.722961,-20.443855
-54.722763,-20.443943
-54.722847,-20.443743
-54.722984,-20.443657
-54.72316,-20.443562
-54.723217,-20.443354
-54.723278,-20.443249
-54.723385,-20.443357
-54.723465,-20.443441
-54.723385,-20.443552
-54.723385,-20.443556
-54.723385,-20.443556
-54.723385,-20.443556
-54.723385,-20.443556
-54.723385,-20.443556
-54.722763,-20.442942
-54.722919,-20.442955
-54.72298,-20.443222
-54.723118,-20.443308
-54.723194,-20.443501
-54.723362,-20.443609
-54.723412,-20.443741
-54.72348,-20.443645
-54.723442,-20.443533
-54.723278,-20.443806
-54.723068,-20.443575
-54.722988,-20.443369
-54.722801,-20.443626
-54.723015,-20.443796
-54.722771,-20.443947
-54.722782,-20.443975
-54.722782,-20.443731
-54.722767,-20.443642
-54.72298,-20.443686
-54.72319,-20.443634
-54.723034,-20.443476
-54.722851,-20.443367
-54.722862,-20.443142
-54.722775,-20.443344
-54.722912,-20.442963
-54.722992,-20.443008
-54.722965,-20.443104
-54.722828,-20.44314
-54.722794,-20.443405
-54.722801,-20.443546
-54.722782,-20.443682
-54.722767,-20.443951
-54.722759,-20.443844
-54.722851,-20.44388
-54.722836,-20.443779
-54.723019,-20.443865
-54.723148,-20.443802
-54.723316,-20.443764
-54.723385,-20.443844
-54.723488,-20.443924
-54.723663,-20.443707
-54.723492,-20.443653
-54.723362,-20.443583
-54.723251,-20.443657
-54.723072,-20.44359
-54.723049,-20.443644
-54.723118,-20.443661
-54.723129,-20.443567
-54.723095,-20.443457
-54.723019,-20.443516
-54.72298,-20.443581
-54.722885,-20.443388
-54.722755,-20.44293
-54.72298,-20.443581
