% 1. Title: Trajetórias Manipuladas
% 
% 2. Sources:
%      (a) Creator: Marcel Tolentino Pinheiro de Oliveira
%      (b) Date: June, 2013
% 
@RELATION trajectory

@ATTRIBUTE collar  STRING
@ATTRIBUTE longitude  NUMERIC
@ATTRIBUTE latitude   NUMERIC
@ATTRIBUTE day DATE "dd/MM/yy"
@ATTRIBUTE hour DATE "HH:mm:ss"

@DATA
0007,-54.72275276278891,-20.44291572979919,15/03/13,11:00:00
0007,-54.7227872492365,-20.44341606512661,15/03/13,11:15:00
0007,-54.72276050208819,-20.4435609494041,15/03/13,11:30:00
0007,-54.72277982831126,-20.44371134370655,15/03/13,11:45:00
0007,-54.72276049063192,-20.44398128721804,15/03/13,12:00:00
0007,-54.7228979243928,-20.44389716736897,15/03/13,12:15:00
0007,-54.72295431355109,-20.44379799464784,15/03/13,12:30:00
0007,-54.72317878556189,-20.44369024804469,15/03/13,12:45:00
0007,-54.72292694384719,-20.44325609355386,15/03/13,13:00:00
0007,-54.7232353159411,-20.44329638217355,15/03/13,13:15:00
0007,-54.72299881693854,-20.44366797753593,15/03/13,13:30:00
0007,-54.72312576470626,-20.44386428221813,15/03/13,13:45:00
0007,-54.72283303404634,-20.4435974164511,15/03/13,14:00:00
0007,-54.72274855322291,-20.44395993784383,15/03/13,14:15:00
0007,-54.72314517887387,-20.44351931320172,15/03/13,14:30:00
0007,-54.72279728617774,-20.44294061049667,15/03/13,14:45:00
0007,-54.72275781101955,-20.44288144389027,16/03/13,13:00:00
0007,-54.72292507133136,-20.44292858506726,16/03/13,13:15:00
0007,-54.72288159864851,-20.44321783382594,16/03/13,13:30:00
0007,-54.72321947494102,-20.44321361406905,16/03/13,13:45:00
0007,-54.72338423388911,-20.44337174204206,16/03/13,14:00:00
0007,-54.72334528309634,-20.44369537590005,16/03/13,14:15:00
0007,-54.72302679789809,-20.44359392820176,16/03/13,14:30:00
0007,-54.72309066802809,-20.44377958451639,16/03/13,14:45:00
0007,-54.72322723227228,-20.44386845754299,16/03/13,15:00:00
0007,-54.72329459643667,-20.44380474026901,16/03/13,15:15:00
0007,-54.72326035972015,-20.44375855254215,16/03/13,15:30:00
0007,-54.72321136637986,-20.44354323587506,16/03/13,15:45:00
0007,-54.72295716138889,-20.44343451162676,16/03/13,16:00:00
0007,-54.72277377899678,-20.44331856808928,16/03/13,16:15:00
0007,-54.72276608624146,-20.44370846128618,16/03/13,16:30:00
0007,-54.72276218515263,-20.44394696074179,16/03/13,16:45:00
0007,-54.72294467726805,-20.44394993832337,16/03/13,17:00:00
0007,-54.72311388331558,-20.44389067848664,16/03/13,17:15:00
0007,-54.72288120454877,-20.44368530803865,16/03/13,17:30:00
0007,-54.72311435769746,-20.44338663024166,16/03/13,17:45:00
0007,-54.72287232932296,-20.44330939073095,16/03/13,18:00:00
0007,-54.72277310745096,-20.44309790876855,16/03/13,18:15:00
0007,-54.7227734875318,-20.44291867454403,01/04/13,12:45:00
0007,-54.72282473885543,-20.4431644309759,01/04/13,13:00:00
0007,-54.72276077053891,-20.44342708289467,01/04/13,13:15:00
0007,-54.72296142379057,-20.44359467581835,01/04/13,13:30:00
0007,-54.7229544618356,-20.44339664774425,01/04/13,13:45:00
0007,-54.72313111569171,-20.44341099548585,01/04/13,14:00:00
0007,-54.72324440608946,-20.44353152915614,01/04/13,14:15:00
0007,-54.72312269301306,-20.44376805037513,01/04/13,14:30:00
0007,-54.72334918305138,-20.44367791791864,01/04/13,14:45:00
0007,-54.72322812379902,-20.44388341174884,01/04/13,15:00:00
0007,-54.72303745575245,-20.44396028847802,01/04/13,15:15:00
0007,-54.72276939054674,-20.44395970977019,01/04/13,15:30:00
0007,-54.7227876809886,-20.44362539695035,01/04/13,15:45:00
0007,-54.72275904837729,-20.44372578663518,01/04/13,16:00:00
0007,-54.7229934888183,-20.44378192580352,01/04/13,16:15:00
0007,-54.72303954958706,-20.44353839162776,01/04/13,16:30:00
0007,-54.72299716166552,-20.44328173812155,01/04/13,16:45:00
0007,-54.72287197393297,-20.44340128129673,01/04/13,17:00:00
0007,-54.7228667052855,-20.44360348427597,01/04/13,17:15:00
0007,-54.72275660006327,-20.44325341377462,01/04/13,17:30:00
0007,-54.72285686124515,-20.44327967261222,01/04/13,17:45:00
0007,-54.72308388451118,-20.44313720889321,01/04/13,18:00:00
0007,-54.72318585949432,-20.44322760001967,01/04/13,18:15:00
0007,-54.72334089974885,-20.44332236105654,01/04/13,18:30:00
0007,-54.72323174301685,-20.44343972011638,01/04/13,18:45:00
0007,-54.72310933819107,-20.44360098133438,01/04/13,19:00:00
0007,-54.72305058697092,-20.44381841269033,01/04/13,19:15:00
0007,-54.72326267108499,-20.44359250620785,01/04/13,19:30:00
0007,-54.7227734875318,-20.44291867454403,01/04/13,12:45:00
0007,-54.72282473885543,-20.4431644309759,01/04/13,13:00:00
0007,-54.72276077053891,-20.44342708289467,01/04/13,13:15:00
0007,-54.72296142379057,-20.44359467581835,01/04/13,13:30:00
0007,-54.7229544618356,-20.44339664774425,01/04/13,13:45:00
0007,-54.72313111569171,-20.44341099548585,01/04/13,14:00:00
0007,-54.72324440608946,-20.44353152915614,01/04/13,14:15:00
