% 1. Title: Trajetórias Manipuladas - As Originais
% 
% 2. Sources:
%      (a) Creator: Marcel Tolentino Pinheiro de Oliveira
%      (b) Date: June, 2013
% 
@RELATION trajectory

@ATTRIBUTE collar  STRING
@ATTRIBUTE longitude  NUMERIC
@ATTRIBUTE latitude   NUMERIC
@ATTRIBUTE day DATE "dd/MM/yy"
@ATTRIBUTE hour DATE "HH:mm:ss"

@DATA
0001,-054.7227216666666667,-20.443885,19/03/09,13:18:21
0001,-054.7227049999999999,-20.4429883333333333,19/03/09,13:36:13
0001,-054.7226733333333333,-20.442895,19/03/09,13:41:11
0001,-054.7225916666666666,-20.4427433333333333,19/03/09,13:46:09
0001,-054.722835,-20.4441466666666667,19/03/09,13:51:45
0001,-054.7227616666666666,-20.44301999999999997,19/03/09,13:56:11
0001,-054.722835,-20.44304166666666667,19/03/09,14:01:09
0001,-054.7227049999999999,-20.442905,19/03/09,14:06:37
0001,-054.7228600000000001,-20.4429933333333333,19/03/09,14:11:20
0001,-054.7229166666666667,-20.44305,19/03/09,14:16:14
0001,-054.7228916666666667,-20.44304,19/03/09,14:21:14
0001,-054.7229166666666667,-20.4430516666666667,19/03/09,14:26:14
0001,-054.7229733333333334,-20.44318,19/03/09,14:31:14
0001,-054.723015,-20.44325833333333337,19/03/09,14:36:12
0001,-054.72277,-20.44281166666666666,19/03/09,14:41:09
0001,-054.7232833333333333,-20.44327666666666665,19/03/09,14:46:15
0001,-054.7233566666666668,-20.4435966666666667,19/03/09,14:51:08
0001,-054.722965,-20.44315333333333334,19/03/09,14:56:08
0001,-054.722745,-20.44387166666666666,19/03/09,15:01:09
0001,-054.7235916666666667,-20.44351333333333337,19/03/09,15:06:15
0001,-054.7231533333333334,-20.44329999999999997,19/03/09,15:11:08
0001,-054.72312,-20.44309666666666664,19/03/09,15:16:09
0001,-054.7230066666666667,-20.44302499999999995,19/03/09,15:21:36
0001,-054.7229333333333333,-20.44292,19/03/09,15:26:43
0001,-054.7228433333333334,-20.442965,19/03/09,15:31:07
0001,-054.72308,-20.44336000000000003,19/03/09,15:36:08
0001,-054.723445,-20.44367999999999996,19/03/09,15:41:24
0001,-054.7231766666666667,-20.44336000000000003,19/03/09,15:46:21
0001,-054.7230066666666667,-20.443195,19/03/09,15:51:08
0001,-054.7229816666666667,-20.4430616666666667,19/03/09,15:57:19
0001,-054.72308,-20.44294833333333333,19/03/09,16:01:07
0001,-054.722835,-20.44281,19/03/09,16:06:10
0001,-054.7228916666666667,-20.4430766666666666,19/03/09,16:12:05
0001,-054.7229733333333334,-20.44323,19/03/09,16:16:07
0001,-054.7228033333333334,-20.44311666666666666,19/03/09,16:21:10
0001,-054.7228600000000001,-20.44338500000000003,19/03/09,16:26:11
0001,-054.722835,-20.443175,19/03/09,16:31:09
0001,-054.72321,-20.443105,19/03/09,16:36:08
0001,-054.7228766666666666,-20.44365166666666667,19/03/09,16:41:08
0001,-054.7229166666666667,-20.4433616666666667,19/03/09,16:46:08
0001,-054.7227049999999999,-20.443795,20/03/09,12:10:54
0001,-054.7226733333333333,-20.4438666666666667,20/03/09,12:16:20
0001,-054.72273,-20.4440233333333333,20/03/09,12:20:52
0001,-054.722835,-20.4431016666666666,20/03/09,12:25:52
0001,-054.7228116666666666,-20.44297333333333333,20/03/09,12:31:00
0001,-054.72273,-20.44295,01/04/09,14:09:20
0001,-054.7226883333333334,-20.44290333333333337,01/04/09,14:13:30
0001,-054.7226400000000001,-20.4429133333333333,01/04/09,14:18:25
0001,-054.7226,-20.44292833333333337,01/04/09,14:23:26
0001,-054.7227383333333334,-20.44295833333333334,01/04/09,14:28:38
0001,-054.7228033333333334,-20.44295500000000004,01/04/09,14:33:46
0001,-054.7223633333333334,-20.44281666666666664,01/04/09,14:48:29
0001,-054.722745,-20.44286333333333333,01/04/09,15:57:35
0001,-054.7224533333333334,-20.44282,01/04/09,16:06:44
0001,-054.7224616666666667,-20.4429633333333333,01/04/09,16:15:51
0001,-054.72255,-20.44292166666666666,01/04/09,16:26:11
0001,-054.7225266666666667,-20.44294666666666666,01/04/09,16:30:58
0001,-054.7226566666666667,-20.4429166666666667,01/04/09,16:35:53
0001,-054.722795,-20.44292166666666666,01/04/09,16:40:55
