velocidade mínima	angulação limite	tamanho do histórico	tamanho do segmento	taxa acerto
0,1	10	1	30	69,1057
0,1	10	1	40	71,5464
0,1	10	1	50	71,8137
0,1	10	1	60	73,2194
0,1	10	1	70	78,135
0,1	10	1	80	74,1007
0,1	10	1	90	78,4314
0,1	10	1	100	74,4589
0,1	10	1	110	71,4953
0,1	10	1	120	72,2222
0,1	10	1	130	80,5405
0,1	10	1	140	71,2644
0,1	10	1	150	81,2121
0,1	10	1	160	77,4194
0,1	10	1	170	73,9726
0,1	10	1	180	75,7143
0,1	20	1	30	68,9431
0,1	20	1	40	70,7216
0,1	20	1	50	71,3235
0,1	20	1	60	74,6439
0,1	20	1	70	77,1704
0,1	20	1	80	75,1799
0,1	20	1	90	76,0784
0,1	20	1	100	75,3247
0,1	20	1	110	72,8972
0,1	20	1	120	74,7475
0,1	20	1	130	77,8378
0,1	20	1	140	79,3103
0,1	20	1	150	78,1818
0,1	20	1	160	77,4194
0,1	20	1	170	73,2877
0,1	20	1	180	77,8571
0,1	30	1	30	69,1057
0,1	30	1	40	70,7216
0,1	30	1	50	72,7941
0,1	30	1	60	73,5043
0,1	30	1	70	76,8489
0,1	30	1	80	74,1007
0,1	30	1	90	74,902
0,1	30	1	100	78,7879
0,1	30	1	110	75,2336
0,1	30	1	120	75,7576
0,1	30	1	130	80,5405
0,1	30	1	140	74,1379
0,1	30	1	150	76,9697
0,1	30	1	160	80,6452
0,1	30	1	170	78,7671
0,1	30	1	180	80,7143
0,1	40	1	30	70,2439
0,1	40	1	40	69,0722
0,1	40	1	50	69,1176
0,1	40	1	60	74,0741
0,1	40	1	70	77,1704
0,1	40	1	80	75,5396
0,1	40	1	90	75,2941
0,1	40	1	100	77,9221
0,1	40	1	110	77,1028
0,1	40	1	120	76,2626
0,1	40	1	130	77,8378
0,1	40	1	140	74,7126
0,1	40	1	150	76,3636
0,1	40	1	160	76,7742
0,1	40	1	170	74,6575
0,1	40	1	180	82,1429
0,1	50	1	30	69,2683
0,1	50	1	40	69,6907
0,1	50	1	50	70,8333
0,1	50	1	60	75,4986
0,1	50	1	70	74,9196
0,1	50	1	80	76,9784
0,1	50	1	90	76,0784
0,1	50	1	100	74,8918
0,1	50	1	110	74,7664
0,1	50	1	120	78,2828
0,1	50	1	130	77,8378
0,1	50	1	140	71,8391
0,1	50	1	150	81,8182
0,1	50	1	160	76,7742
0,1	50	1	170	78,7671
0,1	50	1	180	76,4286
0,1	10	2	30	68,1301
0,1	10	2	40	72,1649
0,1	10	2	50	71,5686
0,1	10	2	60	72,9345
0,1	10	2	70	78,7781
0,1	10	2	80	74,8201
0,1	10	2	90	79,2157
0,1	10	2	100	76,1905
0,1	10	2	110	72,4299
0,1	10	2	120	74,2424
0,1	10	2	130	70,8108
0,1	10	2	140	73,5632
0,1	10	2	150	80,6061
0,1	10	2	160	74,8387
0,1	10	2	170	72,6027
0,1	10	2	180	75
0,1	20	2	30	67,4797
